,Name,ObjectType,AdmArea,District,Address,UNOM,ClarificationOfLocation,Specialization,PeriodOfPlacement,FacilityArea,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ContractBasis,ObjectPhoto,StartDateTrading,geoData,global_id,x,y
470,"НТО Профсоюзная ул., вл.98",киоск,Юго-Западный административный округ,район Коньково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, Профсоюзная улица, дом 98, корпус 1",21034,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-004717,Антарес,22.12.2017,22.12.2022,Результат аукциона (победитель),,10.01.2018,"{'coordinates': [37.5257246895437, 55.6450729868152], 'type': 'Point'}",861538914,37.5257246895437,55.6450729868152
471,"НТО ул. Рабочая, д.3дробь5",киоск,Центральный административный округ,Таганский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Рабочая улица, дом 3/5",21432,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007636,У Метро,15.04.2021,15.04.2026,Результат аукциона (победитель),,15.04.2021,"{'coordinates': [37.6813219959327, 55.7459501800304], 'type': 'Point'}",861538916,37.6813219959327,55.7459501800304
472,"НТО Радужная ул.,15, корп.1",киоск,Северо-Восточный административный округ,Бабушкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, Радужная улица, дом 15, корпус 1",21529,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-001129,Азбука,22.04.2016,22.04.2021,Результат аукциона (победитель),,02.08.2016,"{'coordinates': [37.6638766619397, 55.8597899469674], 'type': 'Point'}",861538918,37.6638766619397,55.8597899469674
473,"НТО б-р Яна Райниса, вл. 23-25",киоск,Северо-Западный административный округ,район Южное Тушино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, бульвар Яна Райниса, дом 23",21572,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-000980,Антарес,05.04.2016,05.04.2021,Результат аукциона (победитель),,05.09.2016,"{'coordinates': [37.4254626163001, 55.8489368754747], 'type': 'Point'}",861538921,37.4254626163001,55.8489368754747
474,"НТО Ракетный бульвар, д.1",киоск,Северо-Восточный административный округ,Алексеевский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, Ракетный бульвар, дом 1",21591,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008489,БИГРЭ,06.12.2021,06.12.2026,Результат аукциона (победитель),,10.02.2022,"{'coordinates': [37.6424729444803, 55.8197362341012], 'type': 'Point'}",861538923,37.6424729444803,55.8197362341012
475,"НТО Ул.Раменки, д.6",киоск,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Раменки, дом 6, корпус 1",21605,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008475,У Метро,02.12.2021,02.12.2026,Результат аукциона (победитель),,07.12.2021,"{'coordinates': [37.4935837951467, 55.6932993054651], 'type': 'Point'}",861538924,37.4935837951467,55.6932993054651
476,"НТО Раменки ул., вл. 14, корп. 1",киоск,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Раменки, дом 14, корпус 1",21620,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-003612,У Метро,07.04.2017,07.04.2022,Результат аукциона (победитель),,,"{'coordinates': [37.4909467265812, 55.6904461138184], 'type': 'Point'}",861538926,37.4909467265812,55.6904461138184
477,"НТО Россошанская ул., вл. 7",киоск,Южный административный округ,район Чертаново Южное,"город Москва, Россошанская улица, дом 7, корпус 1",21998,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007457,АРЕАЛ,30.12.2020,30.12.2025,Результат аукциона (победитель),,31.12.2020,"{'coordinates': [37.6100161309946, 55.5951579696175], 'type': 'Point'}",861538928,37.6100161309946,55.5951579696175
478,"НТО Рублевское шоссе, вл.28 к1",киоск,Западный административный округ,район Крылатское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Рублёвское шоссе, дом 28, корпус 1",22097,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007517,У Метро,18.01.2021,18.01.2026,Результат аукциона (победитель),,21.01.2021,"{'coordinates': [37.4205906699268, 55.7465884547232], 'type': 'Point'}",861538929,37.4205906699268,55.7465884547232
479,"НТО Рублевское шоссе, вл.40, к1",киоск,Западный административный округ,район Крылатское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Рублёвское шоссе, дом 40, корпус 1",22110,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007518,У Метро,18.01.2021,18.01.2026,Результат аукциона (победитель),,21.01.2021,"{'coordinates': [37.412901263042, 55.7502376167579], 'type': 'Point'}",861538931,37.412901263042,55.7502376167579
480,"НТО ул.Маршала Рыбалко, вл1 (рядом с кдробьт «Юность»)",киоск,Северо-Западный административный округ,район Щукино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Рыбалко, дом 1",22261,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-002655,Компания ФРЕГАТ,01.11.2016,01.11.2021,Результат аукциона (победитель),,09.11.2016,"{'coordinates': [37.4948929113732, 55.7957581955343], 'type': 'Point'}",861538932,37.4948929113732,55.7957581955343
481,"НТО ул.Г.Рычагова, вл.11",киоск,Северный административный округ,район Коптево,"город Москва, улица Генерала Рычагова, дом 11",22321,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007483,АРЕАЛ,14.01.2021,14.01.2026,Результат аукциона (победитель),,,"{'coordinates': [37.537469069189, 55.8415557191027], 'type': 'Point'}",861538933,37.537469069189,55.8415557191027
482,"НТО Рязанский пр-т, вл. 27",киоск,Юго-Восточный административный округ,Нижегородский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нижегородский, Рязанский проспект, дом 27",22361,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-005541,Амо-пресс,13.07.2018,13.07.2023,Результат аукциона (победитель),,17.08.2018,"{'coordinates': [37.7480293904984, 55.7300012014928], 'type': 'Point'}",861538934,37.7480293904984,55.7300012014928
483,"НТО Рязанский пр-т, вл.32",киоск,Юго-Восточный административный округ,Рязанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 32",22363,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006657,СТМ МАРКЕТ-ПЛЮС,18.11.2019,18.11.2024,Результат аукциона (победитель),,03.03.2020,"{'coordinates': [37.785908, 55.717213], 'type': 'Point'}",861538936,37.785908,55.717213
484,"НТО Рязанский пр-т, вл. 45, к. 1",киоск,Юго-Восточный административный округ,Рязанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 45, корпус 1",22373,,печать,с 1 января по 31 декабря,12,договор на осуществление торговой деятельности,действует,НТО-09-02-005273,КАП,04.06.2018,04.06.2023,Результат аукциона (победитель),,04.06.2018,"{'coordinates': [37.761646626939, 55.7260916746832], 'type': 'Point'}",861538937,37.761646626939,55.7260916746832
485,"НТО Рязанский проспект, 48",киоск,Юго-Восточный административный округ,Рязанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 48",22377,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007645,АЛИМПИС,19.04.2021,19.04.2026,Результат аукциона (победитель),,27.04.2021,"{'coordinates': [37.7921735493797, 55.7158796507511], 'type': 'Point'}",861538938,37.7921735493797,55.7158796507511
486,"НТО ул. Саляма Адиля, вл. 1дробь46",киоск,Северо-Западный административный округ,район Хорошёво-Мнёвники,"город Москва, улица Саляма Адиля, дом 1/46",22595,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007456,У Метро,29.12.2020,29.12.2025,Результат аукциона (победитель),,30.12.2020,"{'coordinates': [37.4647042971508, 55.7722805460747], 'type': 'Point'}",861538942,37.4647042971508,55.7722805460747
487,"НТО Саянская ул., вл.1дробь3",киоск,Восточный административный округ,район Ивановское,"город Москва, Саянская улица, дом 1/3",22758,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008204,У Метро,01.10.2021,01.10.2026,Результат аукциона (победитель),,01.10.2021,"{'coordinates': [37.8299397510954, 55.7675790027181], 'type': 'Point'}",861538943,37.8299397510954,55.7675790027181
488,"НТО Саянская ул., вл. 5, стр. 1",киоск,Восточный административный округ,район Ивановское,"город Москва, Саянская улица, дом 5, корпус 1",22763,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008203,У Метро,01.10.2021,01.10.2026,Результат аукциона (победитель),,01.10.2021,"{'coordinates': [37.8299397510954, 55.7675790027181], 'type': 'Point'}",861538944,37.8299397510954,55.7675790027181
489,"НТО Свободы ул., вл.30",киоск,Северо-Западный административный округ,район Южное Тушино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, улица Свободы, дом 30",22879,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007837,АРЕАЛ,28.06.2021,28.06.2026,Результат аукциона (победитель),,02.09.2021,"{'coordinates': [37.4550793515774, 55.8408608754072], 'type': 'Point'}",861538946,37.4550793515774,55.8408608754072
490,"НТО Севанская ул., вл.4",киоск,Южный административный округ,район Царицыно,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Севанская улица, дом 4",22941,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-005811,ИР-ПРЕСС,15.10.2018,15.10.2023,Результат аукциона (победитель),,,"{'coordinates': [37.6654368890392, 55.6191366547416], 'type': 'Point'}",861538948,37.6654368890392,55.6191366547416
491,"НТО Севанская ул., вл.15",киоск,Южный административный округ,район Царицыно,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Севанская улица, дом 15, корпус 1",22951,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006668,СТМ МАРКЕТ-ПЛЮС,20.11.2019,20.11.2024,Результат аукциона (победитель),,20.11.2019,"{'coordinates': [37.6541926724853, 55.6236838646502], 'type': 'Point'}",861538949,37.6541926724853,55.6236838646502
492,"НТО Севастопольский проспект, вл.49",киоск,Юго-Западный административный округ,район Котловка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, Севастопольский проспект, дом 49",23063,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-005282,Амо-пресс,05.06.2018,05.06.2023,Результат аукциона (победитель),,18.06.2018,"{'coordinates': [37.5856198222968, 55.6693989420209], 'type': 'Point'}",861538952,37.5856198222968,55.6693989420209
493,"НТО 9-я Северная линия, вл. 21",киоск,Северо-Восточный административный округ,район Северный,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северный, 9-я Северная линия, дом 21",23263,,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-007492,АРЕАЛ,14.01.2021,14.01.2026,Результат аукциона (победитель),,27.01.2021,"{'coordinates': [37.5536058035878, 55.935572890988], 'type': 'Point'}",861538954,37.5536058035878,55.935572890988
494,"НТО ул.Сельскохозяйственная, вл.2",киоск,Северо-Восточный административный округ,район Ростокино,"город Москва, Сельскохозяйственная улица, дом 2",23320,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-005378,Амо-пресс,18.06.2018,18.06.2023,Результат аукциона (победитель),,18.06.2018,"{'coordinates': [37.6516327984856, 55.832966371231], 'type': 'Point'}",861538956,37.6516327984856,55.832966371231
495,"НТО Б. Семеновская ул., вл. 21",киоск,Восточный административный округ,район Соколиная Гора,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Большая Семёновская улица, дом 21",23359,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-005907,АЛФАВИТ,06.12.2018,06.12.2023,Результат аукциона (победитель),,06.12.2018,"{'coordinates': [37.706174491158, 55.7824935335414], 'type': 'Point'}",861538959,37.706174491158,55.7824935335414
496,"НТО Сеславинская, 12",пресс-стенд,Западный административный округ,район Филёвский Парк,"город Москва, Сеславинская улица, дом 12, корпус 2",23500,,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-006975,У Метро,30.06.2020,30.06.2025,Результат аукциона (победитель),,08.07.2020,"{'coordinates': [37.498144, 55.743629], 'type': 'Point'}",861538960,37.498144,55.743629
497,"НТО Сеславинская, 42",киоск,Западный административный округ,район Филёвский Парк,"город Москва, Сеславинская улица, дом 42",23514,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006846,АЛФАВИТ,15.04.2020,15.04.2025,Результат аукциона (победитель),,01.06.2020,"{'coordinates': [37.4837897170638, 55.7399289017972], 'type': 'Point'}",861538961,37.4837897170638,55.7399289017972
498,"НТО Симоновский вал ул., вл.26, корп.1",киоск,Южный административный округ,Даниловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Симоновский Вал, дом 26, корпус 1",23633,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007096,У Метро,05.10.2020,05.10.2025,Результат аукциона (победитель),,,"{'coordinates': [37.6628768435799, 55.7189252574651], 'type': 'Point'}",861538965,37.6628768435799,55.7189252574651
499,"НТО Сиреневый бульвар, вл. 4дробь23А",киоск,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Сиреневый бульвар, дом 4/23",23732,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007366,У Метро,15.12.2020,15.12.2025,Результат аукциона (победитель),,18.12.2020,"{'coordinates': [37.7743174417879, 55.8022009327797], 'type': 'Point'}",861538966,37.7743174417879,55.8022009327797
500,"НТО Измайловский бульв., 28дробь12",киоск,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловский бульвар, дом 30",23759,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007224,АРЕАЛ,09.11.2020,09.11.2025,Результат аукциона (победитель),,12.11.2020,"{'coordinates': [37.7939714160609, 55.7964474742519], 'type': 'Point'}",861538968,37.7939714160609,55.7964474742519
501,"НТО Измайловский бульв., вл. 38А",киоск,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловский бульвар, дом 38",23765,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007364,У Метро,15.12.2020,15.12.2025,Результат аукциона (победитель),,18.12.2020,"{'coordinates': [37.8019165768936, 55.7964627621739], 'type': 'Point'}",861538969,37.8019165768936,55.7964627621739
502,"НТО Сиреневый бульв., вл. 53",киоск,Восточный административный округ,район Северное Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Измайлово, Сиреневый бульвар, дом 53",23786,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008384,АЛФАВИТ,15.11.2021,15.11.2026,Результат аукциона (победитель),,15.11.2021,"{'coordinates': [37.8147794232324, 55.8034210820897], 'type': 'Point'}",861538971,37.8147794232324,55.8034210820897
503,"НТО Сиреневый бульв., вл. 64",киоск,Восточный административный округ,район Восточное Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Измайлово, Сиреневый бульвар, дом 64/31",23796,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008327,У Метро,08.11.2021,08.11.2026,Результат аукциона (победитель),,12.11.2021,"{'coordinates': [37.8296090053476, 55.8028509608855], 'type': 'Point'}",861538973,37.8296090053476,55.8028509608855
504,"НТО Славянский б-р, вл. 13",киоск,Западный административный округ,район Фили-Давыдково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Славянский бульвар, дом 13, корпус 1",23922,,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-008612,У Метро,31.01.2022,31.01.2027,Результат аукциона (победитель),,31.01.2022,"{'coordinates': [37.4626155676524, 55.7257446970557], 'type': 'Point'}",861538974,37.4626155676524,55.7257446970557
505,"НТО Славянский б-р, д. 5, корп. 1",киоск,Западный административный округ,район Фили-Давыдково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Славянский бульвар, дом 5, корпус 1",23929,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006849,АЛФАВИТ,15.04.2020,15.04.2025,Результат аукциона (победитель),,01.06.2020,"{'coordinates': [37.4727151329724, 55.7275370256451], 'type': 'Point'}",861538975,37.4727151329724,55.7275370256451
506,"НТО Смоленский б-р, д. 10",киоск,Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Смоленский бульвар, дом 10",23974,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007596,АЛИМПИС,10.03.2021,10.03.2026,Результат аукциона (победитель),,16.03.2021,"{'coordinates': [37.5854563570927, 55.7408417898147], 'type': 'Point'}",861538978,37.5854563570927,55.7408417898147
507,"НТО Смольная ул., д. 15",киоск,Северный административный округ,Головинский район,"город Москва, Смольная улица, дом 15",23995,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-007177,ЛОГОС-М2,26.10.2020,26.10.2025,Результат аукциона (победитель),,,"{'coordinates': [37.4988917062816, 55.8471065257854], 'type': 'Point'}",861538979,37.4988917062816,55.8471065257854
508,"НТО Снайперская ул., вл.6, корп.1, стр.1",киоск,Восточный административный округ,район Вешняки,"город Москва, Снайперская улица, дом 6, корпус 3",24037,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006556,Азбука,21.10.2019,21.10.2024,Результат аукциона (победитель),,24.10.2019,"{'coordinates': [37.8128484712465, 55.7224557639148], 'type': 'Point'}",861538981,37.8128484712465,55.7224557639148
509,"НТО ул.Снежная, м.Свиблово (северный выход)",киоск,Северо-Восточный административный округ,район Свиблово,"город Москва, Снежная улица, дом 14, корпус 3",24058,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007929,ПРЕССА СЕГОДНЯ,02.08.2021,02.08.2026,Результат аукциона (победитель),,05.08.2021,"{'coordinates': [37.6553610773869, 55.8558219084889], 'type': 'Point'}",861538982,37.6553610773869,55.8558219084889
510,"НТО ул. Снежная, ст. м. «Свиблово», южный выход",киоск,Северо-Восточный административный округ,район Свиблово,"город Москва, Снежная улица, дом 14, корпус 3",24058,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-006618,ИНВЕСТ ГРУПП,23.10.2019,23.10.2024,Результат аукциона (победитель),,,"{'coordinates': [37.6516222976996, 55.8545000790277], 'type': 'Point'}",861538983,37.6516222976996,55.8545000790277
511,"НТО Сокольнический Вал ул., вл.24 и Шумкина ул. (пересечение)",киоск,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Сокольнический Вал, дом 24, корпус 1",24235,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008439,У Метро,29.11.2021,29.11.2026,Результат аукциона (победитель),,29.11.2021,"{'coordinates': [37.6642580018869, 55.7914599285403], 'type': 'Point'}",861538986,37.6642580018869,55.7914599285403
512,НТО Солдатская ул. 8,киоск,Юго-Восточный административный округ,район Лефортово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Солдатская улица, дом 8, корпус 1",24251,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007801,У Метро,24.06.2021,24.06.2026,Результат аукциона (победитель),,06.08.2021,"{'coordinates': [37.7019845652684, 55.7648300047565], 'type': 'Point'}",861538987,37.7019845652684,55.7648300047565
513,"НТО Солнечногорская, вл.1",киоск,Северный административный округ,Головинский район,"город Москва, Солнечногорская улица, дом 5, корпус 1",24261,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008676,ПРЕССА СЕГОДНЯ,16.03.2022,16.03.2027,Результат аукциона (победитель),,22.03.2022,"{'coordinates': [37.5140951793306, 55.8565423498555], 'type': 'Point'}",861538988,37.5140951793306,55.8565423498555
514,"НТО Солнечногорская ул., вл. 17",киоск,Северный административный округ,Головинский район,"город Москва, Солнечногорская улица, дом 17",24278,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-001194,Амо-пресс,22.04.2016,22.04.2021,Результат аукциона (победитель),,01.08.2016,"{'coordinates': [37.5197305565794, 55.8609773830954], 'type': 'Point'}",861538989,37.5197305565794,55.8609773830954
515,"НТО Солнцевский пр-т, вл. 1",киоск,Западный административный округ,район Солнцево,"город Москва, Солнцевский проспект, дом 1",24296,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-004764,Амо-пресс,08.02.2018,08.02.2023,Результат аукциона (победитель),,27.03.2018,"{'coordinates': [37.3967312597901, 55.6521250462382], 'type': 'Point'}",861538991,37.3967312597901,55.6521250462382
516,"НТО Солнцевский пр-т, вл.2",киоск,Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Солнцевский проспект, дом 2",24297,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008537,У Метро,14.12.2021,14.12.2026,Результат аукциона (победитель),,27.01.2022,"{'coordinates': [37.396391453372, 55.6525513991739], 'type': 'Point'}",861538992,37.396391453372,55.6525513991739
517,"НТО Солнцевский пр-т, вл. 9",киоск,Западный административный округ,район Солнцево,"город Москва, Солнцевский проспект, дом 9",24308,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-004420,МЕДИА-СЕЛЕКТ,09.11.2017,09.11.2022,Результат аукциона (победитель),,21.11.2017,"{'coordinates': [37.400331032243, 55.6509359626935], 'type': 'Point'}",861538993,37.400331032243,55.6509359626935
518,"НТО Солнцевский пр-т, вл.24",киоск,Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Солнцевский проспект, дом 24",24327,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008117,У Метро,09.09.2021,09.09.2026,Результат аукциона (победитель),,09.09.2021,"{'coordinates': [37.4074604984499, 55.6493647207693], 'type': 'Point'}",861538995,37.4074604984499,55.6493647207693
519,"НТО Вучетича ул., вл. 4",киоск,Северный административный округ,Тимирязевский район,"город Москва, улица Вучетича, дом 4",24346,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008665,АЛФАВИТ,11.03.2022,11.03.2027,Результат аукциона (победитель),,11.03.2022,"{'coordinates': [37.5599673811627, 55.8080136970571], 'type': 'Point'}",861538997,37.5599673811627,55.8080136970571
520,"НТО Соловьиный проезд, вл.8",киоск,Юго-Западный административный округ,район Ясенево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, Соловьиный проезд, дом 8",24352,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-002691,Амо-пресс,01.11.2016,01.11.2021,Результат аукциона (победитель),,02.05.2017,"{'coordinates': [37.5502269999999, 55.61476], 'type': 'Point'}",861538998,37.5502269999999,55.61476
521,"НТО Ул. Сормовская, вл. 4",киоск,Юго-Восточный административный округ,район Выхино-Жулебино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Сормовская улица, дом 4",24372,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007463,АРЕАЛ,30.12.2020,30.12.2025,Результат аукциона (победитель),,31.12.2020,"{'coordinates': [37.8133106642473, 55.7114836731287], 'type': 'Point'}",861539000,37.8133106642473,55.7114836731287
522,"НТО Проспект 40 лет Октября, вл. 15",киоск,Юго-Восточный административный округ,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, проспект 40 лет Октября, дом 15",24395,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007396,АЛИМПИС,21.12.2020,21.12.2025,Результат аукциона (победитель),,24.12.2020,"{'coordinates': [37.7458808180277, 55.6774542550651], 'type': 'Point'}",861539001,37.7458808180277,55.6774542550651
523,"НТО Спортивный проезд, вл. 1",киоск,Юго-Восточный административный округ,район Люблино,"город Москва, Спортивный проезд, дом 3",24505,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004071,КАП,28.07.2017,28.07.2022,Результат аукциона (победитель),,,"{'coordinates': [37.7511145171031, 55.6840725307015], 'type': 'Point'}",861539002,37.7511145171031,55.6840725307015
524,НТО Ставропольская ул. вл.2,киоск,Юго-Восточный административный округ,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Ставропольская улица, дом 2",24531,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007432,АРЕАЛ,28.12.2020,28.12.2025,Результат аукциона (победитель),,13.01.2021,"{'coordinates': [37.7386839489514, 55.6799970610866], 'type': 'Point'}",861539003,37.7386839489514,55.6799970610866
525,"НТО Сталеваров ул., вл. 22, стр. 1",киоск,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, улица Сталеваров, дом 22, корпус 1",24610,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007642,АРЕАЛ,19.04.2021,19.04.2026,Результат аукциона (победитель),,21.04.2021,"{'coordinates': [37.8392391766834, 55.7537078298946], 'type': 'Point'}",861539006,37.8392391766834,55.7537078298946
526,"НТО Стрелецкая ул., вл.18",киоск,Северо-Восточный административный округ,район Марьина Роща,"город Москва, Стрелецкая улица, дом 18",24846,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007042,АЛИМПИС,15.09.2020,15.09.2025,Результат аукциона (победитель),,01.10.2020,"{'coordinates': [37.6089469159446, 55.7960906260854], 'type': 'Point'}",861539008,37.6089469159446,55.7960906260854
527,"НТО Строгинский бульв., вл. 12",киоск,Северо-Западный административный округ,район Строгино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, Строгинский бульвар, дом 12",24903,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006604,Мультитранс,23.10.2019,23.10.2024,Результат аукциона (победитель),,01.11.2019,"{'coordinates': [37.399548687003, 55.8040161691013], 'type': 'Point'}",861539011,37.399548687003,55.8040161691013
