Name,ObjectType,AdmArea,District,Address,UNOM,Specialization,PeriodOfPlacement,FacilityArea,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ContractBasis,StartDateTrading,geoData,global_id,longitude,latitude,x,y
"НТО Кожуховская 5-я ул., д. 9",киоск,Юго-Восточный административный округ,Южнопортовый район,"город Москва, 5-я Кожуховская улица, дом 9",10346.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008344,ГКС,08.11.2021,08.11.2026,Результат аукциона (победитель),11.11.2021,"{'coordinates': [37.6701476099061, 55.7053713190236], 'type': 'Point'}",861538510,37.6701476099061,55.7053713190236,4193421.650042199,7499985.606222037
"НТО Кожуховская 6-я ул., д. 6",киоск,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 6-я Кожуховская улица, дом 6",10375.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-006633,ИНВЕСТ ГРУПП,23.10.2019,23.10.2024,Результат аукциона (победитель),18.11.2019,"{'coordinates': [37.6703538995888, 55.7069170084748], 'type': 'Point'}",861538511,37.6703538995888,55.7069170084748,4193444.6141046323,7500290.9912476875
"НТО Б.Златоустинский ул., вл.3дробь5",киоск,Центральный административный округ,Басманный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Большой Златоустинский переулок, дом 3/5, строение 1",10666.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007591,МОДУЛЬ ОЙЛ,10.03.2021,10.03.2026,Результат аукциона (победитель),,"{'coordinates': [37.6321050018427, 55.7590375465194], 'type': 'Point'}",861538514,37.6321050018427,55.7590375465194,4189186.766284133,7510595.631726376
"НТО Комсомольский просп., вл. 31",киоск,Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Комсомольский проспект, дом 31",10700.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007320,У Метро,07.12.2020,07.12.2025,Результат аукциона (победитель),07.12.2020,"{'coordinates': [37.5797277730513, 55.7248056775285], 'type': 'Point'}",861538516,37.5797277730513,55.7248056775285,4183356.1598459114,7503826.171416992
"НТО Комсомольский просп., вл. 36",киоск,Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Комсомольский проспект, дом 36",10704.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007321,У Метро,07.12.2020,07.12.2025,Результат аукциона (победитель),07.12.2020,"{'coordinates': [37.576855390551, 55.7239055473006], 'type': 'Point'}",861538517,37.576855390551,55.7239055473006,4183036.407688615,7503648.247915616
"НТО Большой Кондратьевский пер., вл.14 с.1",киоск,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большой Кондратьевский переулок, дом 14, строение 1",10739.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007629,У Метро,15.04.2021,15.04.2026,Результат аукциона (победитель),15.04.2021,"{'coordinates': [37.5799109268476, 55.7739723977082], 'type': 'Point'}",861538518,37.5799109268476,55.7739723977082,4183376.548433253,7513550.907577199
"НТО Коптевская, 8",киоск,Северный административный округ,район Коптево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Коптевская улица, дом 8",10849.0,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-006587,Мультитранс,23.10.2019,23.10.2024,Результат аукциона (победитель),05.11.2019,"{'coordinates': [37.517376, 55.827179], 'type': 'Point'}",861538520,37.517376,55.827179,4176415.1922197826,7524088.526751944
"НТО Коптевская ул., вл. 34",киоск,Северный административный округ,район Коптево,"город Москва, Коптевская улица, дом 34",10874.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006856,АЛФАВИТ,15.04.2020,15.04.2025,Результат аукциона (победитель),26.08.2020,"{'coordinates': [37.5230608349889, 55.8386378503633], 'type': 'Point'}",861538521,37.5230608349889,55.8386378503633,4177048.0251559904,7526359.8491819315
"НТО Коптевский б-р.,вл.11",киоск,Северный административный округ,район Коптево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Коптевский бульвар, дом 11",10895.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008155,У Метро,14.09.2021,14.09.2026,Результат аукциона (победитель),14.09.2021,"{'coordinates': [37.5247671107869, 55.8310381645725], 'type': 'Point'}",861538522,37.5247671107869,55.8310381645725,4177237.9669089764,7524853.398476998
"НТО ул. Корнейчука, 38",киоск,Северо-Восточный административный округ,район Бибирево,"город Москва, улица Корнейчука, дом 38",10946.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007874,АРЕАЛ,12.07.2021,12.07.2026,Результат аукциона (победитель),12.07.2021,"{'coordinates': [37.6275901151426, 55.8980514945593], 'type': 'Point'}",861538523,37.6275901151426,55.8980514945593,4188684.171395689,7538147.303458498
"НТО Корнейчука ул., 46",киоск,Северо-Восточный административный округ,район Бибирево,"город Москва, улица Корнейчука, дом 46",10954.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004304,КАП,12.10.2017,12.10.2022,Результат аукциона (победитель),25.10.2017,"{'coordinates': [37.6324321198975, 55.8956872171669], 'type': 'Point'}",861538525,37.6324321198975,55.8956872171669,4189223.1808994226,7537677.894587662
"НТО Коровинское ш., вл.5 корп.1",киоск,Северный административный округ,район Западное Дегунино,"город Москва, Коровинское шоссе, дом 5, корпус 1",10986.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008626,АРЕАЛ,03.02.2022,03.02.2027,Результат аукциона (победитель),03.02.2022,"{'coordinates': [37.5403880450706, 55.8670214798549], 'type': 'Point'}",861538527,37.5403880450706,55.8670214798549,4178976.8813591534,7531988.81017071
"НТО Коровинское шоссе, вл. 9",киоск,Северный административный округ,район Западное Дегунино,"город Москва, Коровинское шоссе, дом 9, корпус 1",10998.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008361,У Метро,08.11.2021,08.11.2026,Результат аукциона (победитель),08.11.2021,"{'coordinates': [37.5368125686233, 55.8688221009648], 'type': 'Point'}",861538528,37.5368125686233,55.8688221009648,4178578.8611416966,7532346.042976522
"НТО Коровинское ш, д. 16",киоск,Северный административный округ,Дмитровский район,"город Москва, Коровинское шоссе, дом 16",11007.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007347,ПРЕСС-ТОРГ,11.12.2020,11.12.2025,Результат аукциона (победитель),24.12.2020,"{'coordinates': [37.528425, 55.875038], 'type': 'Point'}",861538529,37.528425,55.875038,4177645.1612735577,7533579.368653821
"НТО Коровинское шоссе, вл. 25дробь30",киоск,Северный административный округ,район Западное Дегунино,"город Москва, Коровинское шоссе, дом 25/30",11023.0,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-008558,У Метро,28.12.2021,28.12.2026,Результат аукциона (победитель),17.02.2022,"{'coordinates': [37.5230691751778, 55.8776831786251], 'type': 'Point'}",861538530,37.5230691751778,55.8776831786251,4177048.9535815725,7534104.270836975
"НТО Академика Королева ул., вл. 3",киоск,Северо-Восточный административный округ,Останкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, улица Академика Королёва, дом 3",11038.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007074,АРЕАЛ,22.09.2020,22.09.2025,Результат аукциона (победитель),24.09.2020,"{'coordinates': [37.6307497129328, 55.8209695764342], 'type': 'Point'}",861538532,37.6307497129328,55.8209695764342,4189035.8962128046,7522858.001903818
"НТО Академика Королева, вл. 9, к. 1",киоск,Северо-Восточный административный округ,Останкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, улица Академика Королёва, дом 9, корпус 1",11047.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008139,АРЕАЛ,13.09.2021,13.09.2026,Результат аукциона (победитель),23.09.2021,"{'coordinates': [37.6225100221402, 55.8206483381186], 'type': 'Point'}",861538535,37.6225100221402,55.8206483381186,4188118.6580294785,7522794.347274877
"НТО Косинская ул., вл.4, корп.1",киоск,Восточный административный округ,район Вешняки,"город Москва, Косинская улица, дом 4, корпус 1",11105.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-001442,Амо-пресс,20.06.2016,20.06.2021,Результат аукциона (победитель),05.09.2016,"{'coordinates': [37.8294753175313, 55.7278637588093], 'type': 'Point'}",861538536,37.8294753175313,55.7278637588093,4211157.929324295,7504430.675177549
"НТО Б.Косинская ул., вл.24Д",киоск,Восточный административный округ,район Косино-Ухтомский,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, Большая Косинская улица, дом 24",11140.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008561,У Метро,28.12.2021,28.12.2026,Результат аукциона (победитель),01.04.2022,"{'coordinates': [37.8555042305351, 55.7145195511733], 'type': 'Point'}",861538538,37.8555042305351,55.7145195511733,4214055.45466578,7501793.21701348
"НТО Зои и Александра Космодемьянских ул., 14дробь10",киоск,Северный административный округ,Войковский район,"город Москва, улица Зои и Александра Космодемьянских, дом 14/10",11185.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004859,КАП,21.02.2018,21.02.2023,Результат аукциона (победитель),27.02.2018,"{'coordinates': [37.512353000561, 55.8212382867079], 'type': 'Point'}",861538539,37.512353000561,55.8212382867079,4175856.034479978,7522911.248299445
"НТО ул.Космонавтов, вл.24",киоск,Северо-Восточный административный округ,Алексеевский район,"город Москва, улица Космонавтов, дом 24",11235.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006880,СТМ МАРКЕТ-ПЛЮС,15.04.2020,15.04.2025,Результат аукциона (победитель),01.07.2020,"{'coordinates': [37.6612755719064, 55.8207900000489], 'type': 'Point'}",861538540,37.6612755719064,55.8207900000489,4192434.019289774,7522822.4180757785
"НТО Костякова ул., вл. 15",киоск,Северный административный округ,Тимирязевский район,"город Москва, улица Костякова, дом 15",11265.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008678,ПРЕССА СЕГОДНЯ,16.03.2022,16.03.2027,Результат аукциона (победитель),16.03.2022,"{'coordinates': [37.5691002233684, 55.8158047917042], 'type': 'Point'}",861538541,37.5691002233684,55.8158047917042,4182173.106426831,7521834.643299751
"НТО Нахимовский проспект, вл. 42",киоск,Юго-Западный административный округ,Академический район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, Нахимовский проспект, дом 42",11367.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006779,СЕМЕЙНОЕ ЧТЕНИЕ,10.02.2020,10.02.2025,Результат аукциона (победитель),18.02.2020,"{'coordinates': [37.5648833781568, 55.6776068465767], 'type': 'Point'}",861538542,37.5648833781568,55.6776068465767,4181703.689365121,7494502.178694484
"НТО Красная Пресня ул., вл. 29",киоск,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Красная Пресня, дом 29",11429.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007681,У Метро,12.05.2021,12.05.2026,Результат аукциона (победитель),12.05.2021,"{'coordinates': [37.564393739223, 55.7624194194975], 'type': 'Point'}",861538545,37.564393739223,55.7624194194975,4181649.1830083383,7511264.730248972
"НТО Красноармейская ул, вл.6",киоск,Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Красноармейская улица, дом 6, корпус 1",11433.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-002639,Московская периодика,01.11.2016,01.11.2021,Результат аукциона (победитель),22.02.2017,"{'coordinates': [37.548509293104, 55.7977616286912], 'type': 'Point'}",861538546,37.548509293104,55.7977616286912,4179880.9345548376,7518260.6081706155
"НТО Красноармейская ул., вл.24",киоск,Северный административный округ,район Аэропорт,"город Москва, Красноармейская улица, дом 24",11449.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008386,АЛФАВИТ,15.11.2021,15.11.2026,Результат аукциона (победитель),15.11.2021,"{'coordinates': [37.5421751713097, 55.8009819530424], 'type': 'Point'}",861538547,37.5421751713097,55.8009819530424,4179175.8233420737,7518898.3766900925
"НТО Краснодарская ул., вл. 27",киоск,Юго-Восточный административный округ,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Краснодарская улица, дом 27/13",11524.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007395,АЛИМПИС,21.12.2020,21.12.2025,Результат аукциона (победитель),24.12.2020,"{'coordinates': [37.7541739886334, 55.6779059940644], 'type': 'Point'}",861538550,37.7541739886334,55.6779059940644,4202775.423735324,7494561.23897625
"НТО Краснодарская ул., вл.51дробь12",киоск,Юго-Восточный административный округ,район Люблино,"город Москва, Краснодарская улица, дом 51, корпус 2",11537.0,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-004853,КАП,19.02.2018,19.02.2023,Результат аукциона (победитель),26.02.2018,"{'coordinates': [37.7631829765414, 55.6767922627048], 'type': 'Point'}",861538553,37.7631829765414,55.6767922627048,4203778.299681806,7494341.358797582
"НТО ул. Краснодонская, вл. 4",киоск,Юго-Восточный административный округ,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Краснодонская улица, дом 4",11557.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007459,АРЕАЛ,30.12.2020,30.12.2025,Результат аукциона (победитель),31.12.2020,"{'coordinates': [37.74931, 55.680529], 'type': 'Point'}",861538554,37.74931,55.680529,4202233.96699743,7495079.114815553
"НТО Краснодонская ул., вл. 18дробь18",киоск,Юго-Восточный административный округ,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Краснодонская улица, дом 18/18",11572.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007443,АРЕАЛ,28.12.2020,28.12.2025,Результат аукциона (победитель),31.12.2020,"{'coordinates': [37.7486726167716, 55.6772576468647], 'type': 'Point'}",861538556,37.7486726167716,55.6772576468647,4202163.013821004,7494433.237241461
НТО Красноказарменная ул. 10,киоск,Юго-Восточный административный округ,район Лефортово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Красноказарменная улица, дом 10",11599.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007092,ПРЕСС-ТОРГ,28.09.2020,28.09.2025,Результат аукциона (победитель),28.09.2020,"{'coordinates': [37.6987169186313, 55.7571986599753], 'type': 'Point'}",861538558,37.6987169186313,55.7571986599753,4196601.970941803,7510231.8351199385
"НТО Красного Маяка ул., вл. 2",киоск,Южный административный округ,район Чертаново Центральное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, улица Красного Маяка, дом 2",11756.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008504,У Метро,13.12.2021,13.12.2026,Результат аукциона (победитель),13.12.2021,"{'coordinates': [37.6015362640098, 55.6115202545218], 'type': 'Point'}",861538562,37.6015362640098,55.6115202545218,4185783.8699543816,7481465.848657792
"НТО Красного Маяка ул., вл. 4, корп. 1",киоск,Южный административный округ,район Чертаново Центральное,"город Москва, улица Красного Маяка, дом 4, корпус 1",11758.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006567,АЛФАВИТ,21.10.2019,21.10.2024,Результат аукциона (победитель),05.11.2019,"{'coordinates': [37.5982213427472, 55.6120360117453], 'type': 'Point'}",861538563,37.5982213427472,55.6120360117453,4185414.8546074093,7481567.502514579
"НТО Кржижановского ул., вл. 17-19",киоск,Юго-Западный административный округ,Академический район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кржижановского, дом 17, корпус 2",11869.0,печать,с 1 января по 31 декабря,12,договор на осуществление торговой деятельности,действует,НТО-09-02-007342,АРЕАЛ,11.12.2020,11.12.2025,Результат аукциона (победитель),18.12.2020,"{'coordinates': [37.5741890743399, 55.6790154153603], 'type': 'Point'}",861538564,37.5741890743399,55.6790154153603,4182739.5947257006,7494780.274457954
"НТО Кржижановского ул., вл.18",киоск,Юго-Западный административный округ,Академический район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кржижановского, дом 18, корпус 1",11871.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004018,КАП,10.07.2017,10.07.2022,Результат аукциона (победитель),,"{'coordinates': [37.5708340897966, 55.6795817129061], 'type': 'Point'}",861538566,37.5708340897966,55.6795817129061,4182366.1195547213,7494892.0822203895
"НТО Крутицкий 3-й пер., д. 13",киоск,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 3-й Крутицкий переулок, дом 13",12042.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-007881,ЛОТЕРЕИ МОСКВЫ,12.07.2021,12.07.2026,Результат аукциона (победитель),06.08.2021,"{'coordinates': [37.66462, 55.731268], 'type': 'Point'}",861538567,37.66462,55.731268,4192806.319322148,7505103.6615128815
"НТО ул. Кулакова, вл. 10",киоск,Северо-Западный административный округ,район Строгино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, улица Кулакова, дом 10",12146.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-004835,Мультитранс,19.02.2018,19.02.2023,Результат аукциона (победитель),21.02.2018,"{'coordinates': [37.3976020062322, 55.8113277704796], 'type': 'Point'}",861538570,37.3976020062322,55.8113277704796,4163082.0122232744,7520947.669131597
"НТО Кустанайская ул., вл.3, корп. 1",киоск,Южный административный округ,район Зябликово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, Кустанайская улица, дом 3, корпус 1",12354.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-005380,КАП,18.06.2018,18.06.2023,Результат аукциона (победитель),17.07.2018,"{'coordinates': [37.7535176324273, 55.6196485906582], 'type': 'Point'}",861538573,37.7535176324273,55.6196485906582,4202702.358496682,7483068.069422574
"НТО Кустанайская ул., вл.14",киоск,Южный административный округ,район Зябликово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, Кустанайская улица, дом 14, корпус 1",12372.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-005379,КАП,18.06.2018,18.06.2023,Результат аукциона (победитель),22.06.2018,"{'coordinates': [37.7528193466504, 55.6171730877892], 'type': 'Point'}",861538575,37.7528193466504,55.6171730877892,4202624.625679569,7482580.074344343
"НТО Кутузовский пр., вл.43",киоск,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 43",12434.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008114,У Метро,09.09.2021,09.09.2026,Результат аукциона (победитель),09.09.2021,"{'coordinates': [37.527708492515, 55.737616927716], 'type': 'Point'}",861538577,37.527708492515,55.737616927716,4177565.400025178,7506358.94136824
"НТО ул. Куусинена, вл. 1",киоск,Северный административный округ,Хорошёвский район,"город Москва, улица Куусинена, дом 1",12436.0,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-008158,ГКС,15.09.2021,15.09.2026,Результат аукциона (победитель),24.09.2021,"{'coordinates': [37.5167481553443, 55.7780166872161], 'type': 'Point'}",861538578,37.5167481553443,55.7780166872161,4176345.3008724134,7514351.377619719
"НТО Куусинена ул., вл. 2",киоск,Северный административный округ,Хорошёвский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, улица Куусинена, дом 2, корпус 1",12438.0,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-006211,КАП,25.03.2019,25.03.2024,Результат аукциона (победитель),08.04.2019,"{'coordinates': [37.5185225905453, 55.776968751397], 'type': 'Point'}",861538580,37.5185225905453,55.776968751397,4176542.830095434,7514143.955902083
"НТО ул. Куусинена, вл. 6, корп. 3",киоск,Северный административный округ,Хорошёвский район,"город Москва, улица Куусинена, дом 6, корпус 3",12449.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007521,У Метро,18.01.2021,18.01.2026,Результат аукциона (победитель),19.01.2021,"{'coordinates': [37.5158252495824, 55.7809089914344], 'type': 'Point'}",861538581,37.5158252495824,55.7809089914344,4176242.563472948,7514923.890772197
"НТО ул. Куусинена, вл. 7",киоск,Северный административный округ,Хорошёвский район,"город Москва, улица Куусинена, дом 7, корпус 1",12466.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-006700,Азбука,12.12.2019,12.12.2024,Результат аукциона (победитель),,"{'coordinates': [37.515307, 55.781034], 'type': 'Point'}",861538582,37.515307,55.781034,4176184.8721933314,7514948.6363775935
"НТО Лебедянская ул., вл. 24",киоск,Южный административный округ,район Бирюлёво Восточное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Лебедянская улица, дом 24, корпус 1",12592.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007825,АРЕАЛ,28.06.2021,28.06.2026,Результат аукциона (победитель),28.06.2021,"{'coordinates': [37.6885883139661, 55.5855633346513], 'type': 'Point'}",861538584,37.6885883139661,55.5855633346513,4195474.4598280275,7476351.560888082
"НТО Ленинградский пр-т, вл. 1",киоск,Северный административный округ,район Беговой,"город Москва, Ленинградский проспект, дом 1",12631.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007482,АРЕАЛ,14.01.2021,14.01.2026,Результат аукциона (победитель),20.01.2021,"{'coordinates': [37.5811625553993, 55.7777234652634], 'type': 'Point'}",861538585,37.5811625553993,55.7777234652634,4183515.87908629,7514293.338578682
"НТО Ленинградский пр-т, вл. 2",киоск,Северный административный округ,район Беговой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, Ленинградский проспект, дом 2",12632.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007486,АРЕАЛ,14.01.2021,14.01.2026,Результат аукциона (победитель),20.01.2021,"{'coordinates': [37.5821151812972, 55.7785149349549], 'type': 'Point'}",861538587,37.5821151812972,55.7785149349549,4183621.9249161603,7514449.999548763
НТО Ленинградский просп. 58,киоск,Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, дом 58",12684.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-008582,АЛФАВИТ,28.12.2021,28.12.2026,Результат аукциона (победитель),13.01.2022,"{'coordinates': [37.5371828608603, 55.7989279564638], 'type': 'Point'}",861538588,37.5371828608603,55.7989279564638,4178620.0818849644,7518491.587238946
"НТО Ленинградский пр-т, д.71 к. Г",пресс-стенд,Северный административный округ,район Сокол,"город Москва, Ленинградский проспект, дом 71, корпус Г",12696.0,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,действует,НТО-09-08-006983,У Метро,30.06.2020,30.06.2025,Результат аукциона (победитель),08.07.2020,"{'coordinates': [37.5150041322376, 55.8043889976844], 'type': 'Point'}",861538589,37.5150041322376,55.8043889976844,4176151.1571082436,7519573.181620332
"НТО Ленинградский пр-т, д. 75, корп. 1А",киоск,Северный административный округ,район Сокол,"город Москва, Ленинградский проспект, дом 75, корпус 1А",12706.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004390,Сейлс,09.11.2017,09.11.2022,Результат аукциона (победитель),16.01.2018,"{'coordinates': [37.5131234122606, 55.8037484900178], 'type': 'Point'}",861538592,37.5131234122606,55.8037484900178,4175941.796318079,7519446.317099024
НТО Ленинградское шоссе 9,киоск,Северный административный округ,Войковский район,"город Москва, Ленинградское шоссе, дом 9, корпус 1",12722.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008663,АЛФАВИТ,11.03.2022,11.03.2027,Результат аукциона (победитель),18.03.2022,"{'coordinates': [37.49811, 55.817539], 'type': 'Point'}",861538597,37.49811,55.817539,4174270.510910159,7522178.246923489
"НТО Ленинградское ш., 13",киоск,Северный административный округ,Войковский район,"город Москва, Ленинградское шоссе, дом 13, корпус 1",12725.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007054,У Метро,18.09.2020,18.09.2025,Результат аукциона (победитель),,"{'coordinates': [37.496703, 55.819576], 'type': 'Point'}",861538598,37.496703,55.819576,4174113.8843866135,7522581.863086911
"НТО Ленинградское ш., д. 52",киоск,Северный административный округ,Войковский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, Ленинградское шоссе, дом 52",12760.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-000815,Амо-пресс,24.03.2016,24.03.2021,Результат аукциона (победитель),16.11.2016,"{'coordinates': [37.4843749682984, 55.8360834900185], 'type': 'Point'}",861538602,37.4843749682984,55.8360834900185,4172741.5341751077,7525853.477250246
"НТО Ленинский проспект, вл.34",киоск,Юго-Западный административный округ,Гагаринский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 34/1",12871.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-003587,У Метро,07.04.2017,07.04.2022,Результат аукциона (победитель),,"{'coordinates': [37.5782909495647, 55.7070123498658], 'type': 'Point'}",861538606,37.5782909495647,55.7070123498658,4183196.2133870237,7500309.828436817
"НТО Ленинский проспект, вл.40",киоск,Юго-Западный административный округ,Гагаринский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 40",12877.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008620,У Метро,31.01.2022,31.01.2027,Результат аукциона (победитель),31.01.2022,"{'coordinates': [37.5693885717996, 55.7023936247078], 'type': 'Point'}",861538609,37.5693885717996,55.7023936247078,4182205.205227363,7499397.331115637
"НТО Ленинский проспект, вл.41",киоск,Юго-Западный административный округ,Гагаринский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 41/2",12878.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008782,У Метро,23.09.2022,23.09.2027,Результат аукциона (победитель),23.09.2022,"{'coordinates': [37.5789845324431, 55.7066798274046], 'type': 'Point'}",861538610,37.5789845324431,55.7066798274046,4183273.42267987,7500244.130114032
